"","sampleKEY","sampleID","sampleDate","researcher","Sand","Silt","Clay"
"82",41,"ALBA 15-30 1F","7/26/2016","Alejandro",81.4,11.5,7.1
"83",40,"DEAN2 0-15 1F","7/26/2016","Alejandro",87.6,7.6,4.8
"84",39,"JUDY 4-7F","7/26/2016","Alejandro",72.7,17.7,9.6
"85",38,"JACS 0-15 1F","7/26/2016","Alejandro",83,7.7,9.3
"86",30,"ARDI 15-30","5/27/2016","Dmaia Curry",67.3,16.9,15.8
"87",29,"TOMR 4-7F","5/27/2016","Dmaia Curry",54.4,26.6,19
"88",28,"ARDI 0-15","5/31/2016","Dmaia Curry",21.5,43.5,35
"89",27,"FOGL 0-15","5/27/2016","Dmaia Curry",63,30.9,6.1
"90",26,"FOGL 15-30","5/27/2016","Dmaia Curry",79.1,14.8,6.1
"91",25,"JACS 0-15","5/27/2016","Dmaia Curry",61.3,29.8,8.9
"92",24,"TOMR 15-30","5/31/2016","Bailey Lai",48.8,25.5,25.7
"93",23,"TOSA 0-15","5/27/2016","Bailey Lai",22.8,49.8,27.4
"94",22,"TOMR 0-15","5/27/2016","Bailey Lai",43.9,28.8,27.3
"95",21,"TOSA 15-30","5/27/2016","Bailey Lai",26.3,45.6,28.1
"96",20,"JACS 15-30","5/27/2016","Bailey Lai",62.4,26,11.6
"97",19,"TOSA 4-7F","5/27/2016","Bailey Lai",27,49.6,23.4
